,Survived,Pclass,Sex,Embarked,Title,AgeBand,Family,Alone,FareBand
0,0,3,1,1,1,3,2,0,1
1,1,1,2,2,2,4,2,0,1
2,1,3,2,1,3,3,1,1,1
3,1,1,2,1,2,4,2,0,1
4,0,3,1,1,1,4,1,1,1
5,0,3,1,3,1,3,1,1,1
6,0,1,1,1,1,6,1,1,1
7,0,3,1,1,4,1,5,0,1
8,1,3,2,1,2,3,3,0,1
9,1,2,2,2,2,2,2,0,1
10,1,3,2,1,3,1,3,0,1
11,1,1,2,1,3,6,1,1,1
12,0,3,1,1,1,2,1,1,1
13,0,3,1,1,1,4,7,0,1
14,0,3,2,1,3,2,1,1,1
15,1,2,2,1,2,6,1,1,1
16,0,3,1,3,4,1,6,0,1
17,1,2,1,1,1,3,1,1,1
18,0,3,2,1,2,4,2,0,1
19,1,3,2,2,2,4,1,1,1
20,0,2,1,1,1,4,1,1,1
21,1,2,1,1,1,4,1,1,1
22,1,3,2,3,3,2,1,1,1
23,1,1,1,1,1,3,1,1,1
24,0,3,2,1,3,1,5,0,1
25,1,3,2,1,2,4,7,0,1
26,0,3,1,2,1,3,1,1,1
27,0,1,1,1,1,2,6,0,3
28,1,3,2,3,3,3,1,1,1
29,0,3,1,1,1,3,1,1,1
30,0,1,1,2,5,4,1,1,1
31,1,1,2,2,2,4,2,0,2
32,1,3,2,3,3,3,1,1,1
33,0,2,1,1,1,7,1,1,1
34,0,1,1,2,1,3,2,0,1
35,0,1,1,1,1,5,2,0,1
36,1,3,1,2,1,3,1,1,1
37,0,3,1,1,1,3,1,1,1
38,0,3,2,1,3,2,3,0,1
39,1,3,2,2,3,2,2,0,1
40,0,3,2,1,2,4,2,0,1
41,0,2,2,1,2,3,2,0,1
42,0,3,1,2,1,3,1,1,1
43,1,2,2,2,3,1,4,0,1
44,1,3,2,3,3,2,1,1,1
45,0,3,1,1,1,3,1,1,1
46,0,3,1,3,1,3,2,0,1
47,1,3,2,3,3,3,1,1,1
48,0,3,1,2,1,3,3,0,1
49,0,3,2,1,2,2,2,0,1
50,0,3,1,1,4,1,6,0,1
51,0,3,1,1,1,3,1,1,1
52,1,1,2,2,2,5,2,0,1
53,1,2,2,1,2,3,2,0,1
54,0,1,1,2,1,7,2,0,1
55,1,1,1,1,1,3,1,1,1
56,1,2,2,1,3,3,1,1,1
57,0,3,1,2,1,3,1,1,1
58,1,2,2,1,3,1,4,0,1
59,0,3,1,1,4,2,8,0,1
60,0,3,1,2,1,3,1,1,1
61,1,1,2,1,3,4,1,1,1
62,0,1,1,1,1,5,2,0,1
63,0,3,1,1,4,1,6,0,1
64,0,1,1,2,1,3,1,1,1
65,1,3,1,2,4,1,3,0,1
66,1,2,2,1,2,3,1,1,1
67,0,3,1,1,1,2,1,1,1
68,1,3,2,1,3,2,7,0,1
69,0,3,1,1,1,3,3,0,1
70,0,2,1,1,1,4,1,1,1
71,0,3,2,1,3,2,8,0,1
72,0,2,1,1,1,3,1,1,1
73,0,3,1,2,1,3,2,0,1
74,1,3,1,1,1,4,1,1,1
75,0,3,1,1,1,3,1,1,1
76,0,3,1,1,1,3,1,1,1
77,0,3,1,1,1,3,1,1,1
78,1,2,1,1,4,1,3,0,1
79,1,3,2,1,3,3,1,1,1
80,0,3,1,1,1,3,1,1,1
81,1,3,1,1,1,3,1,1,1
82,1,3,2,3,3,3,1,1,1
83,0,1,1,1,1,3,1,1,1
84,1,2,2,1,3,2,1,1,1
85,1,3,2,1,2,4,4,0,1
86,0,3,1,1,1,2,5,0,1
87,0,3,1,1,1,3,1,1,1
88,1,1,2,1,3,3,6,0,3
89,0,3,1,1,1,3,1,1,1
90,0,3,1,1,1,3,1,1,1
91,0,3,1,1,1,2,1,1,1
92,0,1,1,1,1,5,2,0,1
93,0,3,1,1,1,3,4,0,1
94,0,3,1,1,1,6,1,1,1
95,0,3,1,1,1,3,1,1,1
96,0,1,1,2,1,8,1,1,1
97,1,1,1,2,1,3,2,0,1
98,1,2,2,1,2,4,2,0,1
99,0,2,1,1,1,4,2,0,1
100,0,3,2,1,3,3,1,1,1
101,0,3,1,1,1,3,1,1,1
102,0,1,1,1,1,3,2,0,1
103,0,3,1,1,1,4,1,1,1
104,0,3,1,1,1,4,3,0,1
105,0,3,1,1,1,3,1,1,1
106,1,3,2,1,3,3,1,1,1
107,1,3,1,1,1,3,1,1,1
108,0,3,1,1,1,4,1,1,1
109,1,3,2,3,3,3,2,0,1
110,0,1,1,1,1,5,1,1,1
111,0,3,2,2,3,2,2,0,1
112,0,3,1,1,1,3,1,1,1
113,0,3,2,1,3,2,2,0,1
114,0,3,2,2,3,2,1,1,1
115,0,3,1,1,1,3,1,1,1
116,0,3,1,3,1,8,1,1,1
117,0,2,1,1,1,3,2,0,1
